Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2024-05-23 01:00:00+00:00,204.0,205.0,202.0,202.5,0,0.0,0.0
2024-05-23 01:05:00+00:00,202.5,204.0,202.5,203.0,203000,0.0,0.0
2024-05-23 01:10:00+00:00,202.0,202.5,200.0,200.0,581833,0.0,0.0
2024-05-23 01:15:00+00:00,200.5,200.5,196.5,196.5,865897,0.0,0.0
2024-05-23 01:20:00+00:00,197.0,198.0,195.0,197.0,951948,0.0,0.0
2024-05-23 01:25:00+00:00,197.0,199.5,196.5,199.5,366104,0.0,0.0
2024-05-23 01:30:00+00:00,199.5,201.5,199.5,201.5,424997,0.0,0.0
2024-05-23 01:35:00+00:00,201.5,202.5,199.5,202.0,412765,0.0,0.0
2024-05-23 01:40:00+00:00,202.0,203.5,201.5,202.0,308307,0.0,0.0
2024-05-23 01:45:00+00:00,202.0,203.5,202.0,202.5,150768,0.0,0.0
2024-05-23 01:50:00+00:00,203.0,203.0,201.5,201.5,131374,0.0,0.0
2024-05-23 01:55:00+00:00,201.5,201.5,199.5,200.0,297066,0.0,0.0
2024-05-23 02:00:00+00:00,200.0,201.0,200.0,200.5,100065,0.0,0.0
2024-05-23 02:05:00+00:00,200.5,201.5,200.5,201.5,87082,0.0,0.0
2024-05-23 02:10:00+00:00,201.5,201.5,201.0,201.5,61535,0.0,0.0
2024-05-23 02:15:00+00:00,201.5,202.0,201.0,201.5,71948,0.0,0.0
2024-05-23 02:20:00+00:00,201.0,201.5,201.0,201.5,52115,0.0,0.0
2024-05-23 02:25:00+00:00,201.0,201.5,201.0,201.5,55972,0.0,0.0
2024-05-23 02:30:00+00:00,201.5,202.5,201.0,202.5,113315,0.0,0.0
2024-05-23 02:35:00+00:00,202.5,202.5,202.0,202.5,49260,0.0,0.0
2024-05-23 02:40:00+00:00,202.5,203.5,202.0,203.5,132612,0.0,0.0
2024-05-23 02:45:00+00:00,203.5,204.0,203.0,204.0,154620,0.0,0.0
2024-05-23 02:50:00+00:00,204.0,204.5,202.5,202.5,120650,0.0,0.0
2024-05-23 02:55:00+00:00,202.5,202.5,202.0,202.5,54290,0.0,0.0
2024-05-23 03:00:00+00:00,202.5,203.0,202.0,203.0,62091,0.0,0.0
2024-05-23 03:05:00+00:00,203.0,203.0,202.0,202.0,43631,0.0,0.0
2024-05-23 03:10:00+00:00,202.0,202.0,201.5,201.5,32250,0.0,0.0
2024-05-23 03:15:00+00:00,201.5,203.0,201.5,203.0,85072,0.0,0.0
2024-05-23 03:20:00+00:00,203.0,203.0,202.5,203.0,34335,0.0,0.0
2024-05-23 03:25:00+00:00,203.0,204.5,203.0,204.0,220183,0.0,0.0
2024-05-23 03:30:00+00:00,204.0,204.5,204.0,204.5,42972,0.0,0.0
2024-05-23 03:35:00+00:00,204.5,204.5,204.0,204.5,34201,0.0,0.0
2024-05-23 03:40:00+00:00,204.0,204.5,204.0,204.5,55681,0.0,0.0
2024-05-23 03:45:00+00:00,204.5,204.5,203.5,203.5,129816,0.0,0.0
2024-05-23 03:50:00+00:00,203.5,203.5,203.0,203.5,31734,0.0,0.0
2024-05-23 03:55:00+00:00,203.5,203.5,203.0,203.5,21318,0.0,0.0
2024-05-23 04:00:00+00:00,203.5,203.5,202.5,202.5,69158,0.0,0.0
2024-05-23 04:05:00+00:00,203.0,203.0,202.5,203.0,56232,0.0,0.0
2024-05-23 04:10:00+00:00,203.0,203.0,202.5,203.0,32375,0.0,0.0
2024-05-23 04:15:00+00:00,202.5,203.0,202.5,203.0,27252,0.0,0.0
2024-05-23 04:20:00+00:00,203.0,203.5,202.5,203.5,97110,0.0,0.0
2024-05-23 04:25:00+00:00,203.5,203.5,203.0,203.5,26503,0.0,0.0
2024-05-23 04:30:00+00:00,203.5,203.5,203.0,203.5,28319,0.0,0.0
2024-05-23 04:35:00+00:00,203.5,203.5,202.5,203.0,98217,0.0,0.0
2024-05-23 04:40:00+00:00,202.5,202.5,201.5,201.5,110240,0.0,0.0
2024-05-23 04:45:00+00:00,201.5,202.0,201.5,202.0,47213,0.0,0.0
2024-05-23 04:50:00+00:00,201.5,202.0,201.5,201.5,62225,0.0,0.0
2024-05-23 04:55:00+00:00,201.5,202.0,201.0,202.0,69715,0.0,0.0
2024-05-23 05:00:00+00:00,202.0,202.5,202.0,202.5,64644,0.0,0.0
2024-05-23 05:05:00+00:00,202.5,202.5,201.5,201.5,100177,0.0,0.0
2024-05-23 05:10:00+00:00,201.5,202.0,201.5,201.5,71391,0.0,0.0
2024-05-23 05:15:00+00:00,201.5,202.0,201.5,201.5,119232,0.0,0.0
2024-05-23 05:20:00+00:00,201.5,203.0,201.5,203.0,190779,0.0,0.0
2024-05-24 01:00:00+00:00,197.5,200.0,197.0,200.0,800000,0.0,0.0
2024-05-24 01:05:00+00:00,200.0,200.5,198.5,198.5,328000,0.0,0.0
2024-05-24 01:10:00+00:00,198.5,200.5,198.5,200.0,162767,0.0,0.0
2024-05-24 01:15:00+00:00,200.0,204.0,200.0,203.5,317853,0.0,0.0
2024-05-24 01:20:00+00:00,203.5,203.5,202.0,202.0,261518,0.0,0.0
2024-05-24 01:25:00+00:00,202.0,202.5,201.0,201.5,87523,0.0,0.0
2024-05-24 01:30:00+00:00,201.5,203.0,201.0,203.0,78359,0.0,0.0
2024-05-24 01:35:00+00:00,202.5,203.0,202.0,202.5,97290,0.0,0.0
2024-05-24 01:40:00+00:00,202.5,204.0,202.5,203.0,353131,0.0,0.0
2024-05-24 01:45:00+00:00,203.5,203.5,200.5,201.5,289047,0.0,0.0
